=,7,?,9,/,$,<,1
0,.,),.,%,9,',","
1,>,;,;,#,$,7,3
=,3,1,;,5,$,$,)
=,;,2,.,+,;,%,8
3,;,?,?,!,<,7,","
<,3,>,),%,<,?,","
1,>,2,+,/,",",/,+
"
",,,,,,,
Key,204,,,,,,
Answer,"!3[_]O^.( C{}^? /v\E""() tR3<> (0^? Ch{}'
",,,,,,
,,,,,,,
;,>,&,*,1,"""",6,(
8,/,+,8,7,5,",",+
7,"""",4,=,3,(,>,7
5,3,-,-,=,.,%,)
2,>,/,*,7,',6,?
;,3,+,;,),&,%,)
7,',/,=,9,5,<,>
5,.,/,*,7,&,%,)
;,', ,-,/,5,5,+
5,#,+,),%,4,&,6
"
",,,,,,,
Key,247,,,,,,
Answer,"({_}?4 |""|O^.T [-)O^`i\i(+ Co^N(+ i\i\o^.7 !\_!e'!\!
",,,,,,
,,,,,,,
",",1,3, ,>,$,+, 
#,-,7,6,.,-,!,2
-,!,7,3,&,$,!,*
"""",%,6,6,>,?,(,:
/,0,(,6,>,+,#,?
",",!,7,1,6,$,3,""""
",",(,*,',&,<,+,(
"
",,,,,,,
Key,79,,,,,,
Answer,"+)@^/T ({}' |_e^"" 2U3^ c0/ T]--[<>'j.
",,,,,,
,,,,,,,
5,2,9,:,9,#,?,6
3,/,5,:,7,?,',%
3,"""",",",9,5,',4,8
=,"""",/,(,),),/,%
4,*,',>,5,>,%,9
<,>,?,),5,.,',%
1,.,%,.,%,+,',%
7,',4,.,9,<,",",;
=,:,-,.,=,9,-,7
=,+,4,),3,9,",",!
4,2,-,>,%,+,%,/
"
",,,,,,,
Key,197,,,,,,
Answer,"iviJ3^.n9 ]\_[]-[A` gJ/=|""{_} NO'i |-)4^+_+ r/-\ Da^'ij.
",,,,,,
,,,,,,,
 ,<,2,$,>,(,2,8
"""",8,1,2, ,%,1,8
+,<,>,%, ,0,0,#
(,!,/,3,8,%,9,0
*,5,(,%,>,7,1,#
+,8,<,#,<,5,(,!
+,<,%,5, ,0,1,#
"""",8,:,5,>,', ,""""
*,(,"""",!,4,',8,0
"
",,,,,,,
Key,127,,,,,,
Answer,"x[0]'i\_iG C/=|? ChO*/ !\!GA*~ t/=\iJ c}-{e`o.
",,,,,,
,,,,,,,
-,8,?,#,>,2,"""",+
),),&,3,<,/,),6
',8,3,#,"""",-,3,=
-,",",=,3,6,;,),7
),$,;,3,"""",*,1,6
+, ,?,#,:,3,*,)
),",",>,"""",",",/,!,4
+,<,;,#,<,),1,9
&,9,5,$,2,0,9,9
"
",,,,,,,
Key,22,,,,,,
Answer,"x()^]\[(+ (0' k}--{!_!'< N(+[_]*0*""I (0/ |_U/(
",,,,,,
,,,,,,,
7,&,3,=,=,",",<,$
6,&,"""",",",;,!,.,%
8,3,!,<,+,3,",",!
5,"""",9,9,',3,-,0
8,#, ,+,-,6,-,3
8,.,(,;,%,$,.,-
2,', ,",",!,$,-,""""
8,.,',",",;,&,=,","
8,>,(,;,#,",",4,1
"
",,,,,,,
Key,237,,,,,,
Answer,"TJ3^i\i h().( lE^~ ]--[4^.|_| |--|O.c vA*|\_|.
",,,,,,
,,,,,,,
',9,&,4,:,7,9,>
 ,(,%,3,<,"""",:,;
(,),*,3,>,3,9,9
 ,",",>,$,8,%,2,""""
%,$,/,$,>,',2,2
',0,?,3,<,.,(,%
(,),#,!,2,',:,(
),1,!,!,<,/,),7
"
",,,,,,,
Key,98,,,,,,
Answer,"\//=\`i\i9 7]-[a^.t K|-|0^]\[g ${}*. |_U*?@.
",,,,,,
,,,,,,,
4,6,!,?,=,?,$,-
1,>,5,(,=,+,',1
1,+,1,(,5,8,",",","
6,',8,?,%,?,',<
>,*,6,8,=,+,/,>
=,7,8,;,?,<,7,<
>,*,(,*,;,#,5,-
>,&,!,:,5,#,5,","
3,:,',;,#,&,?,1
7,#,9,;,1,<,$,.
>,#,6,>,?,#,=,/
7,/,8,9,%,<,7,","
>,+,1,(,?,?,5,%
"
",,,,,,,
Key,209,,,,,,
Answer,"tR/-\^{_} [3[0]` #--#|_|/< n#-#A|_| R{_}O^`J i""i!_!<>^~j C#=#3^/t.
",,,,,,
,,,,,,,
